,open,high,low,close,volume
2019-03-12,1182.3,1205.71,1182.3,1197.25,2110979.0
2019-03-13,1205.93,1207.12,1197.91,1199.06,1294354.0
2019-03-14,1199.02,1204.7,1191.23,1192.53,1365072.0
2019-03-15,1198.0,1201.72,1187.01,1190.3,2593338.0
2019-03-18,1189.69,1194.95,1181.48,1188.55,1222203.0
2019-03-19,1191.72,1203.41,1189.46,1202.46,1489407.0
2019-03-20,1201.4,1229.99,1199.59,1226.43,2075442.0
2019-03-21,1220.0,1236.44,1216.58,1236.13,1407480.0
2019-03-22,1228.85,1233.63,1206.0,1207.65,1721133.0
2019-03-25,1199.56,1209.44,1190.0,1197.38,1378849.0
2019-03-26,1205.19,1207.65,1181.76,1189.84,1537606.0
2019-03-27,1191.92,1191.92,1164.23,1178.01,1471402.0
2019-03-28,1175.5,1177.25,1163.43,1172.27,1120122.0
2019-03-29,1180.18,1183.97,1166.38,1176.89,1544615.0
2019-04-01,1187.54,1200.2,1186.36,1198.98,1385595.0
2019-04-02,1200.05,1205.81,1191.24,1205.54,914413.0
2019-04-03,1212.7,1220.6,1205.08,1210.81,1109614.0
2019-04-04,1211.29,1220.55,1209.04,1219.45,1051089.0
2019-04-05,1219.3,1220.39,1210.03,1211.45,1001044.0
2019-04-08,1211.11,1213.95,1204.7,1208.28,1087588.0
2019-04-09,1201.89,1207.15,1198.38,1202.69,983840.0
2019-04-10,1205.09,1208.94,1200.66,1206.45,775456.0
2019-04-11,1208.9,1212.74,1204.54,1209.59,849947.0
2019-04-12,1215.62,1223.05,1213.29,1222.73,1215610.0
2019-04-15,1224.09,1229.3,1214.56,1226.53,1189974.0
2019-04-16,1230.0,1235.98,1225.04,1231.91,1131099.0
2019-04-17,1237.0,1245.1,1232.9,1240.14,1518286.0
2019-04-18,1245.0,1245.94,1239.41,1241.47,1237788.0
2019-04-22,1236.67,1254.34,1233.37,1253.76,954419.0
2019-04-23,1256.64,1274.43,1251.97,1270.59,1593449.0
2019-04-24,1270.59,1274.0,1259.81,1260.05,1169797.0
2019-04-25,1270.3,1272.8,1258.0,1267.34,1567161.0
2019-04-26,1273.38,1278.91,1265.0,1277.42,1361419.0
2019-04-29,1280.51,1296.97,1271.71,1296.2,3618362.0
2019-04-30,1190.63,1200.98,1183.0,1198.96,6658855.0
2019-05-01,1197.5,1199.25,1171.68,1173.32,3717018.0
2019-05-02,1172.6,1179.38,1158.33,1166.51,2254890.0
2019-05-03,1177.41,1191.4,1173.55,1189.55,2079376.0
2019-05-06,1172.0,1195.43,1171.16,1193.46,1588684.0
2019-05-07,1185.81,1194.77,1165.0,1178.86,1830238.0
2019-05-08,1177.29,1184.27,1167.63,1170.78,1276022.0
2019-05-09,1162.6,1174.07,1154.64,1167.97,1477752.0
2019-05-10,1168.84,1176.28,1146.37,1167.64,1582460.0
2019-05-13,1145.24,1151.97,1125.5,1136.59,2281686.0
2019-05-14,1142.32,1144.87,1123.53,1124.86,2019550.0
2019-05-15,1122.55,1178.3,1121.4,1170.8,2965117.0
2019-05-16,1171.84,1194.16,1168.45,1184.5,1765388.0
2019-05-17,1175.83,1186.29,1166.42,1168.78,1268050.0
2019-05-20,1153.0,1153.0,1138.14,1144.66,1530126.0
2019-05-21,1154.48,1158.0,1143.31,1154.44,1028248.0
2019-05-22,1151.25,1163.78,1151.0,1155.85,941279.0
2019-05-23,1146.07,1150.05,1133.16,1145.34,1260657.0
2019-05-24,1152.0,1154.36,1136.71,1138.61,927651.0
2019-05-28,1141.48,1156.49,1138.67,1139.56,1047554.0
2019-05-29,1132.7,1135.0,1111.95,1119.94,1811510.0
2019-05-30,1120.15,1126.8,1115.9,1121.41,904419.0
2019-05-31,1105.64,1113.4,1103.35,1106.5,1579481.0
2019-06-03,1066.93,1067.0,1027.03,1038.74,4844480.0
2019-06-04,1044.49,1058.44,1036.03,1054.49,3025564.0
2019-06-05,1055.0,1056.81,1033.0,1044.64,2349436.0
2019-06-06,1046.21,1050.0,1035.51,1047.76,1451026.0
2019-06-07,1054.28,1073.43,1051.15,1068.37,2191357.0
2019-06-10,1077.0,1094.84,1075.28,1082.76,1425464.0
2019-06-11,1096.99,1104.01,1079.57,1081.04,1675817.0
2019-06-12,1079.95,1082.52,1069.6,1079.1,1183650.0
2019-06-13,1084.71,1096.59,1082.57,1091.01,1040661.0
2019-06-14,1089.74,1094.76,1081.48,1086.3,1229304.0
2019-06-17,1089.1,1101.28,1088.0,1093.89,988491.0
2019-06-18,1111.5,1118.78,1100.79,1105.24,1726312.0
2019-06-19,1107.24,1109.43,1096.03,1104.51,1336015.0
2019-06-20,1121.7,1122.72,1107.0,1113.2,1200908.0
2019-06-21,1109.86,1126.57,1109.72,1125.37,2538872.0
2019-06-24,1120.0,1123.57,1113.31,1116.7,1211893.0
2019-06-25,1115.08,1115.7,1084.6,1087.58,1582217.0
2019-06-26,1091.0,1095.12,1073.69,1080.32,1734873.0
2019-06-27,1086.75,1088.46,1075.85,1076.63,1203914.0
2019-06-28,1077.23,1082.8,1073.8,1082.8,1683568.0
2019-07-01,1101.04,1108.59,1095.33,1100.0,1464449.0
2019-07-02,1104.83,1112.89,1099.67,1112.6,1031919.0
2019-07-03,1118.5,1127.99,1114.85,1122.99,1007718.0
2019-07-05,1119.37,1134.65,1117.5,1132.67,1489678.0
2019-07-08,1125.87,1127.21,1111.76,1116.79,1494371.0
2019-07-09,1110.32,1127.86,1107.15,1124.29,1473622.0
2019-07-10,1132.32,1142.34,1130.66,1140.91,1535546.0
2019-07-11,1146.16,1153.24,1139.53,1144.08,1300529.0
2019-07-12,1142.93,1147.5,1138.56,1145.34,1093933.0
2019-07-15,1145.34,1150.68,1140.0,1150.51,1058431.0
2019-07-16,1146.73,1158.58,1146.73,1153.46,1267641.0
2019-07-17,1150.92,1158.44,1146.62,1146.74,976894.0
2019-07-18,1142.0,1148.17,1132.86,1147.24,1273769.0
2019-07-19,1149.32,1151.58,1131.25,1131.55,1159153.0
2019-07-22,1135.47,1140.02,1125.21,1139.21,1446757.0
2019-07-23,1143.45,1148.86,1132.85,1148.05,1032438.0
2019-07-24,1132.62,1145.46,1128.51,1139.73,1359956.0
2019-07-25,1138.95,1143.59,1123.71,1135.94,2738139.0
2019-07-26,1228.0,1268.39,1228.0,1245.22,6060795.0
2019-07-29,1242.5,1248.99,1230.2,1241.84,2069127.0
2019-07-30,1227.0,1236.91,1225.32,1228.0,1430775.0
2019-07-31,1224.87,1234.91,1208.18,1218.2,1997999.0
2019-08-01,1217.63,1236.3,1207.0,1211.78,1771271.0
2019-08-02,1203.0,1209.5,1190.0,1196.32,1745450.0
2019-08-05,1172.97,1176.88,1142.75,1154.75,2391972.0
2019-08-06,1165.52,1181.4,1161.53,1171.08,1800707.0
2019-08-07,1157.8,1179.87,1150.84,1175.91,1534347.0
2019-08-08,1186.43,1206.28,1174.0,1206.19,1505848.0
2019-08-09,1199.99,1204.46,1184.89,1188.9,1020945.0
2019-08-12,1180.0,1185.61,1168.72,1174.5,1103243.0
2019-08-13,1174.35,1205.43,1172.99,1196.73,1430240.0
2019-08-14,1176.07,1182.79,1161.07,1164.25,1771501.0
2019-08-15,1168.43,1176.42,1163.0,1169.32,1430715.0
2019-08-16,1180.79,1183.84,1173.0,1179.21,1265187.0
2019-08-19,1191.83,1209.39,1190.4,1200.44,1222854.0
2019-08-20,1195.35,1198.0,1183.05,1183.53,1010566.0
2019-08-21,1195.82,1200.56,1187.92,1191.58,708272.0
2019-08-22,1193.8,1198.78,1178.91,1191.52,867915.0
2019-08-23,1185.17,1195.67,1150.0,1153.58,1813141.0
