,open,high,low,close,volume
2016-05-11,36.07,36.46,35.87,36.06,8204441.0
2016-05-12,36.32,36.48,34.93,35.57,16763533.0
2016-05-13,39.19,41.0,39.0,40.98,52756404.0
2016-05-16,40.67,42.8,40.54,42.19,24325757.0
2016-05-17,42.0,42.58,41.4601,42.28,15709762.0
2016-05-18,42.0,43.85,42.0,43.36,13526797.0
2016-05-19,43.19,43.8586,43.13,43.55,9971981.0
2016-05-20,43.82,44.51,43.75,44.33,9777090.0
2016-05-23,44.52,44.69,44.13,44.4,10340877.0
2016-05-24,44.42,45.5,44.3,45.36,10394721.0
2016-05-25,45.5,45.69,44.81,45.17,11469411.0
2016-05-26,45.25,45.98,45.12,45.65,7749081.0
2016-05-27,45.7,45.97,45.55,45.9,6935389.0
2016-05-31,46.1,46.815,46.07,46.72,10313131.0
2016-06-01,46.5,47.26,46.36,46.81,9678267.0
2016-06-02,47.06,47.54,46.6,47.14,8230202.0
2016-06-03,46.68,46.74,45.66,46.48,11526864.0
2016-06-06,46.6,46.96,46.0,46.24,8062841.0
2016-06-07,46.52,46.78,46.31,46.33,4835017.0
2016-06-08,46.34,46.51,45.8,46.18,5865431.0
2016-06-09,46.02,47.45,45.92,47.38,11804167.0
2016-06-10,46.82,47.24,46.14,46.2,10000592.0
2016-06-13,46.25,47.6986,46.25,46.79,11889674.0
2016-06-14,46.68,47.1,46.155,46.88,7458639.0
2016-06-15,47.27,47.77,46.75,47.36,7525868.0
2016-06-16,47.01,47.63,46.551,47.55,6161428.0
2016-06-17,47.61,47.62,46.53,46.72,11775048.0
2016-06-20,47.47,48.17,47.44,47.56,7344230.0
2016-06-21,47.76,47.89,47.2,47.27,5312661.0
2016-06-22,47.37,47.68,47.15,47.23,5065516.0
2016-06-23,47.68,48.54,47.65,48.49,7446994.0
2016-06-24,46.5,47.36,45.3,45.73,25442111.0
2016-06-27,45.35,45.7,44.57,45.24,11258487.0
2016-06-28,46.1,46.1499,45.27,45.9,9547980.0
2016-06-29,46.3,47.01,46.18,46.65,7973264.0
2016-06-30,46.73,47.3,46.35,47.01,10773475.0
2016-07-01,46.75,47.36,46.5,46.66,5462198.0
2016-07-05,46.4,47.43,46.03,47.35,9277061.0
2016-07-06,47.02,47.925,46.78,47.65,6827594.0
2016-07-07,47.97,49.06,47.75,48.89,9884992.0
2016-07-08,49.41,51.091,49.22,50.85,12048273.0
2016-07-11,51.58,52.4,51.52,52.02,11219437.0
2016-07-12,52.6,53.28,51.94,52.8,10919045.0
2016-07-13,52.9,53.2,52.7,52.78,8115130.0
2016-07-14,53.06,53.8,52.62,53.32,7922283.0
2016-07-15,52.64,52.935,51.841,52.7,10715357.0
2016-07-18,53.35,53.43,52.77,52.97,6324838.0
2016-07-19,52.94,53.7293,52.84,53.52,9566250.0
2016-07-20,53.7,54.505,53.48,54.22,7411502.0
2016-07-21,54.1,54.27,53.04,53.22,9032697.0
2016-07-22,53.41,54.67,53.02,54.67,7894165.0
2016-07-25,55.0,55.81,54.76,55.68,7813211.0
2016-07-26,56.17,56.92,56.09,56.63,12862739.0
2016-07-27,57.12,57.22,55.72,56.06,11166886.0
2016-07-28,56.19,56.6,56.0137,56.18,5547934.0
2016-07-29,56.39,57.25,55.38,57.1,10239664.0
2016-08-01,57.34,57.55,56.36,56.73,7527970.0
2016-08-02,57.0,57.03,55.5,56.04,7068720.0
2016-08-03,55.97,56.3,55.66,56.19,7495709.0
2016-08-04,56.46,57.49,56.35,57.23,6817803.0
2016-08-05,57.89,58.23,57.61,58.2,9289735.0
2016-08-08,59.0,59.14,58.12,58.74,7626603.0
2016-08-09,59.03,59.46,58.74,58.89,9308559.0
2016-08-10,59.41,59.5,58.3237,58.51,9393453.0
2016-08-11,58.82,59.95,58.7,59.7,17026556.0
2016-08-12,61.9,63.38,60.63,63.04,35643642.0
2016-08-15,63.11,63.4964,62.1302,62.98,14332617.0
2016-08-16,62.89,62.99,62.41,62.6,7191345.0
2016-08-17,62.6,62.74,60.655,61.15,14880304.0
2016-08-18,61.06,62.2,60.82,62.1,8292095.0
2016-08-19,62.07,62.73,61.8,62.26,7288978.0
2016-08-22,62.45,62.612,61.711,62.52,6118683.0
2016-08-23,63.04,63.32,62.73,62.91,8494058.0
2016-08-24,63.13,63.16,61.65,61.94,7461244.0
2016-08-25,61.96,61.99,60.76,61.53,10150783.0
2016-08-26,61.69,62.38,61.2,62.03,7500624.0
2016-08-29,62.28,62.53,61.885,61.99,6866279.0
2016-08-30,61.91,62.2426,61.46,61.63,7138622.0
2016-08-31,61.75,61.92,61.16,61.34,9713642.0
2016-09-01,61.39,63.38,61.34,63.15,10712305.0
2016-09-02,63.28,63.35,61.82,62.53,8078742.0
2016-09-06,62.75,63.12,62.429,63.12,7670320.0
2016-09-07,62.92,63.2285,61.83,62.19,9949700.0
2016-09-08,62.13,62.74,61.42,62.64,7895219.0
2016-09-09,61.95,62.3,59.0,59.52,17443966.0
2016-09-12,58.73,60.865,57.315,60.75,14956524.0
2016-09-13,60.6,61.3,59.53,59.87,11794183.0
2016-09-14,60.01,60.6,59.51,60.4,7984326.0
2016-09-15,60.5,62.76,60.36,62.69,12884799.0
2016-09-16,62.91,63.25,62.12,62.84,22561149.0
2016-09-19,63.5,65.26,63.21,63.67,10428207.0
2016-09-20,64.4,64.4,62.74,63.09,8277832.0
2016-09-21,63.28,64.98,63.27,64.86,8405337.0
2016-09-22,65.24,65.44,64.65,65.02,7718287.0
2016-09-23,65.1,65.29,64.66,64.95,6903344.0
2016-09-26,64.21,64.6,63.53,64.34,5751035.0
2016-09-27,64.09,66.64,64.06,66.54,10068769.0
2016-09-28,66.64,66.83,65.93,66.78,7994701.0
2016-09-29,66.67,67.61,66.0514,67.4,8417136.0
2016-09-30,67.77,69.19,67.37,68.52,10748304.0
2016-10-03,68.52,69.51,68.331,68.45,6064853.0
2016-10-04,68.55,69.7,67.79,68.3,7040645.0
2016-10-05,68.88,69.58,68.02,68.23,7636009.0
2016-10-06,67.41,67.83,66.26,67.34,9005317.0
2016-10-07,67.79,67.97,66.66,66.85,7156502.0
2016-10-10,67.2,67.56,66.47,67.1,7196868.0
2016-10-11,66.88,66.98,65.62,66.13,9713476.0
2016-10-12,65.86,66.7791,65.31,66.43,10498025.0
2016-10-13,65.65,65.8,63.7,65.35,9752910.0
2016-10-14,66.15,66.6,65.6,65.99,8265851.0
2016-10-17,65.98,66.6,65.52,65.61,4883160.0
2016-10-18,66.52,66.99,66.25,66.61,6734274.0
2016-10-19,66.16,66.78,65.82,66.47,4976462.0
2016-10-20,67.25,67.95,66.3,67.73,7802072.0
2016-10-21,67.49,67.66,66.9,67.54,6987654.0
